City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,Postal Code
Lakewood,California,80079,80413,80672,80883,80927,80951,80895,80510,79907,79307,CA
Perris,California,69000,70426,71229,72295,73485,74613,76046,77563,78903,79291,CA
Napa,California,77185,77679,78168,78728,79384,79636,79616,79083,78946,78130,CA
Alameda,California,73946,74692,75637,76479,77509,78459,79091,79037,78344,77624,CA
Upland,California,73884,74465,74933,75188,75542,75970,76374,76778,76833,77140,CA
Bellflower,California,76624,76939,77202,77404,77532,77794,77581,77326,76906,76435,CA
San Ramon,California,71585,72174,72850,73560,74329,75138,75703,75795,75851,75995,CA
Baldwin Park,California,75421,75750,76183,76364,76375,76427,76219,75948,75572,75251,CA
Rancho Cordova,California,65067,65970,66725,67722,69389,70640,72162,73398,74478,75087,CA
Union City,California,69630,70597,71642,72552,73481,74343,75465,75227,74560,74107,CA
Turlock,California,68848,69251,69719,70261,70868,71776,72578,73241,73396,73631,CA
Apple Valley town,California,69307,70025,70381,70706,71141,71747,72262,72871,73349,73453,CA
Pittsburg,California,63522,64546,65523,66646,67974,69260,70798,72000,72450,72588,CA
Redlands,California,68807,69320,69637,69800,70209,70625,71027,71342,71416,71513,CA
Walnut Creek,California,64314,64827,65529,66812,67500,68747,69235,69645,69843,70166,CA
Camarillo,California,65257,65515,65656,65882,66517,67171,67141,67403,68883,69888,CA
Lynwood,California,69595,69661,70576,71146,71193,71397,70979,70685,70285,69887,CA
Davis,California,65584,65657,65781,66213,66545,67367,68028,68802,69220,69413,CA
Lake Elsinore,California,53627,55078,56044,57711,60111,61955,63807,66066,68051,69283,CA
Rocklin,California,57474,58426,58962,59613,60060,60908,62605,64654,67065,68823,CA
South San Francisco,California,63701,64448,65581,66237,66813,67221,67220,67180,67617,67789,CA
Yorba Linda,California,64390,65610,66282,66803,67359,67527,68033,67895,67589,67644,CA
Lodi,California,62253,62741,63048,63128,63620,64264,64578,65715,67003,67586,CA
Yuba City,California,65631,65364,65283,65538,65757,66134,66218,66564,66695,67010,CA
Redondo Beach,California,66933,67192,67438,67629,67673,67771,67809,67511,67206,66749,CA
Laguna Niguel,California,63119,63774,64134,64381,65079,65396,65145,66011,66079,66385,CA
Madera,California,61603,61907,62382,62749,63230,63690,64187,64941,65440,65860,CA
Tulare,California,59432,59789,60625,60905,61444,61915,62538,63486,64274,65496,CA
Palo Alto,California,64535,65345,66089,66613,66848,66782,67353,66960,66258,65364,CA
Dublin,California,45903,46804,48700,52027,54554,57545,59579,60797,63423,64826,CA
Santa Cruz,California,60578,61434,61954,62731,63172,64082,64396,64815,64643,64608,CA
San Clemente,California,63605,64255,64612,64845,64947,65142,65185,64973,64699,64558,CA
Brentwood,California,51813,52716,53508,54916,56854,58796,60571,62265,63760,64474,CA
Eastvale,California,54054,54966,55627,56247,57386,59231,60670,62309,63815,64157,CA
Encinitas,California,59684,60264,60890,61555,62023,62590,62921,62884,62750,62709,CA
Pico Rivera,California,62960,63221,63430,63597,63637,63670,63438,63133,62677,62027,CA
Montebello,California,62490,62903,63123,63279,63322,63379,63134,62823,62440,61954,CA
National City,California,58624,59042,59369,59776,60132,60721,60967,61083,61272,61394,CA
Woodland,California,55615,55786,56272,56713,57328,58385,59098,59923,60474,60548,CA
Petaluma,California,58037,58236,58728,59337,59753,60295,60468,60682,61826,60520,CA
La Habra,California,59108,59658,59970,60224,60421,60473,60292,60898,60778,60513,CA
Monterey Park,California,60218,60460,60645,60796,60832,60908,60830,60668,60198,59669,CA
Porterville,California,58197,58540,58708,58891,58995,59721,59699,59745,59685,59599,CA
Gardena,California,58835,59114,59368,59788,59843,59946,59873,59871,59540,59329,CA
Cupertino,California,58689,59172,59769,60198,60592,60519,60900,60588,60004,59276,CA
La Mesa,California,57149,57644,58099,58556,58855,59697,59751,59722,59389,59249,CA
Gilroy,California,49006,49700,50718,51893,52538,53259,55369,57549,58588,59032,CA
San Rafael,California,57797,58232,58448,58995,59130,59074,58918,58801,58704,58440,CA
Santee,California,53640,54523,55381,56151,56828,57471,57678,57825,57944,58081,CA
Arcadia,California,56322,56594,56801,57215,57513,57835,58238,58374,58385,57939,CA
Hanford,California,54463,54612,54524,54741,55086,55608,55663,56383,56971,57703,CA
Huntington Park,California,58125,58334,58524,58739,58908,58933,58701,58476,57998,57509,CA
Diamond Bar,California,55588,55854,56087,56233,56279,56429,56581,56334,56106,55720,CA
Novato,California,51970,52680,53221,54142,54856,55406,55913,55701,55640,55516,CA
Highland,California,53218,53671,53939,54150,54325,54553,54752,55198,55311,55417,CA
Fountain Valley,California,55470,55950,56318,56601,56671,56643,56423,56051,55663,55357,CA
Cathedral City,California,51452,52077,52478,52846,53187,53516,53943,54413,54793,55007,CA
Colton,California,52261,52712,52945,53105,53706,54291,54507,54680,54637,54824,CA
Rosemead,California,53795,54022,54215,54398,54429,54440,54332,54221,54226,54058,CA
Paramount,California,54104,54329,54580,54854,54914,54971,54789,54621,54259,53955,CA
Yucaipa,California,51474,51954,52280,52546,52730,52981,53186,53496,53557,53921,CA
Watsonville,California,51278,51593,51887,52412,52959,53528,53774,53919,53875,53856,CA
Delano,California,53130,53620,52403,52331,52447,52495,52568,52877,52921,53573,CA
West Sacramento,California,48842,49106,49528,49978,51637,52431,52933,53304,53601,53519,CA
Palm Desert,California,48684,49251,49775,50357,50916,51552,52077,52794,53129,53275,CA
Glendora,California,50376,50624,50795,51120,51065,51769,51882,51997,51846,51544,CA
Placentia,California,50994,51503,51838,52105,52108,52202,52154,51916,51538,51233,CA
Beaumont,California,37261,38514,39286,40337,41994,43479,45156,46848,49126,51063,CA
Aliso Viejo,California,47801,48474,49038,49538,49542,49499,50858,50982,51206,50887,CA
Cerritos,California,49042,49223,49384,49507,49532,49546,50346,50697,50288,49859,CA
Chicago,Illinois,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976,IL
Aurora,Illinois,198207,199150,199648,199803,200189,200315,200799,200391,199199,197757,IL
Naperville,Illinois,142402,143205,144017,144892,146193,146975,147192,147619,148090,148449,IL
Joliet,Illinois,147524,147771,148084,147749,147592,147432,147802,147821,147730,147344,IL
Rockford,Illinois,153147,152129,151258,150608,149378,148465,147796,147008,146307,145609,IL
Springfield,Illinois,117138,117786,117928,117633,117489,117221,116536,115771,114840,114230,IL
Elgin,Illinois,108388,109225,109710,110149,111059,111992,112265,112103,111490,110849,IL
Peoria,Illinois,114980,115426,115798,116646,115955,115183,114227,112618,111449,110417,IL
Champaign,Illinois,81405,82330,83202,84112,84953,86218,87244,87839,87994,88909,IL
Waukegan,Illinois,89167,88998,88799,88897,88791,88369,88157,87615,86680,86075,IL
Cicero town,Illinois,84267,84438,84569,84601,84397,83884,83219,82399,81477,80796,IL
Bloomington,Illinois,76848,77308,78020,79269,78901,78414,78343,78134,77804,77330,IL
Arlington Heights village,Illinois,75252,75528,75918,76116,76145,75987,75795,75473,75116,74760,IL
Bolingbrook village,Illinois,73475,73789,73949,73909,74032,74142,74383,75003,75043,74545,IL
Evanston,Illinois,74585,75142,75723,75984,75994,75619,75243,74617,73990,73473,IL
Schaumburg village,Illinois,74294,74551,74775,74911,74903,74651,74592,74039,73388,72887,IL
Decatur,Illinois,76105,75922,75449,74955,74155,73265,72510,71790,71136,70746,IL
Palatine village,Illinois,68611,68886,69170,69378,69427,69302,68953,68506,67942,67482,IL
Skokie village,Illinois,64889,65087,65247,65328,65223,64888,64437,63847,63171,62700,IL
Des Plaines,Illinois,58454,58725,58978,59112,59104,58811,58430,58078,58854,58899,IL
Orland Park village,Illinois,56664,56968,57232,58470,58592,58531,58912,58579,58179,57857,IL
Tinley Park village,Illinois,56882,57086,57268,57372,57364,57195,56929,56553,56095,55773,IL
Oak Lawn village,Illinois,56732,56924,57078,57170,57106,56825,56456,55983,55430,55022,IL
Normal town,Illinois,52643,53119,54025,54667,54517,54294,54391,54452,54629,54469,IL
Berwyn,Illinois,56671,56791,56886,56914,56777,56436,55986,55435,54821,54391,IL
Mount Prospect village,Illinois,55082,55264,55417,55602,55770,55528,55156,54675,54116,53719,IL
Wheaton,Illinois,53104,53416,53576,53765,53769,53736,53518,53406,53108,52745,IL
Oak Park village,Illinois,51896,52013,52099,52254,52138,52405,52060,52149,52173,52381,IL
Hoffman Estates village,Illinois,51942,52147,52301,52396,52342,52098,51828,51463,51111,50932,IL
Houston,Texas,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268,TX
San Antonio,Texas,1332299,1357120,1383075,1408339,1435456,1464043,1487843,1511154,1530016,1547253,TX
Dallas,Texas,1200350,1218282,1242115,1258835,1279098,1301329,1323916,1342479,1341802,1343573,TX
Austin,Texas,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908,TX
Fort Worth,Texas,748441,764142,781046,796073,815057,835356,856177,874809,893216,909585,TX
El Paso,Texas,650671,664404,674941,674808,677235,676242,679955,681343,679875,681728,TX
