City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,Postal Code
Hampton,Virginia,137415,136628,137177,137332,137680,136264,135374,134725,134330,134510,VA
Roanoke,Virginia,96720,96782,98011,98849,99427,99669,99337,98986,99009,99143,VA
Portsmouth,Virginia,95451,95748,96480,96075,95829,96336,95165,94838,94750,94398,VA
Suffolk,Virginia,84813,84750,85251,85751,86882,88079,89194,90108,90975,92108,VA
Lynchburg,Virginia,75548,76584,77269,77940,78141,79134,79710,80523,81309,82168,VA
Leesburg town,Virginia,43067,44537,46076,47713,49338,50935,52495,54055,53763,53727,VA
Harrisonburg,Virginia,48993,49935,51312,51537,52542,52675,53542,53644,53488,53016,VA
Minneapolis,Minnesota,383067,388052,392768,400070,407067,411030,415079,420925,424903,429606,MN
St. Paul,Minnesota,285510,288872,291280,295054,297655,299915,302948,304913,306960,308096,MN
Rochester,Minnesota,107047,108097,108916,110427,111198,112160,114051,115586,117047,118935,MN
Duluth,Minnesota,86191,86239,86162,86045,86095,85985,86084,85979,85856,85618,MN
Bloomington,Minnesota,83036,83937,84867,85078,85052,85190,85459,85588,85474,84943,MN
Brooklyn Park,Minnesota,75963,76883,77905,78471,78816,79256,79871,80322,80524,80389,MN
Plymouth,Minnesota,70715,71703,73104,74096,75176,76034,77341,78128,79345,79768,MN
Woodbury,Minnesota,62250,63559,64472,65523,66625,67445,68495,69520,71231,72828,MN
Maple Grove,Minnesota,61778,63196,64504,65442,66966,68405,69678,70812,71711,72622,MN
St. Cloud,Minnesota,65919,65873,65930,66085,66536,67352,67832,68103,68181,68462,MN
Lakeville,Minnesota,56161,56711,57471,58697,59976,60791,61997,63677,65778,67317,MN
Eagan,Minnesota,64202,64488,64878,65403,65996,66212,66328,66594,66472,66372,MN
Blaine,Minnesota,57409,58194,59438,60500,61386,62360,63191,64288,65082,65607,MN
Eden Prairie,Minnesota,60899,61667,62392,62673,63341,63608,64001,64193,64263,64893,MN
Coon Rapids,Minnesota,61539,61561,61958,62064,62163,62264,62374,62479,62491,62998,MN
Burnsville,Minnesota,60391,60649,60864,61144,61314,61203,61316,61431,61162,61339,MN
Apple Valley,Minnesota,49146,49492,49721,49925,50195,50950,51938,52390,54065,55135,MN
Minnetonka,Minnesota,49796,50646,51232,51437,51555,51739,52447,52910,53883,54064,MN
Edina,Minnesota,48037,48686,49202,49501,49704,50251,51428,51783,52430,52857,MN
New Orleans,Louisiana,347772,360735,369787,378637,383940,389742,391843,391493,391004,390144,LA
Baton Rouge,Louisiana,229374,228643,228889,228346,227851,227202,226686,224414,222190,220236,LA
Shreveport,Louisiana,201437,202327,202347,200469,198259,197001,194672,192023,189360,187112,LA
Lafayette,Louisiana,121836,122674,123587,124873,126036,126922,127221,126526,126371,126185,LA
Lake Charles,Louisiana,72531,72873,73665,73886,74513,75685,76462,77586,78266,78396,LA
Bossier City,Louisiana,62120,63540,65414,66191,67078,68157,68125,68471,68316,68159,LA
Kenner,Louisiana,66635,66814,66781,66836,66776,66896,67083,66933,66584,66340,LA
Wichita,Kansas,382745,383773,385751,387210,388416,389412,390519,390277,389231,389938,KS
Overland Park,Kansas,174040,176034,178683,180932,183980,186222,189302,191327,192724,195494,KS
Kansas City,Kansas,145878,146227,147454,148899,150122,151502,152485,152739,152965,152960,KS
Olathe,Kansas,126269,128325,129963,131798,132839,134298,135928,137526,139758,140545,KS
Topeka,Kansas,127914,128228,128095,127725,127489,127396,126948,126517,125778,125310,KS
Lawrence,Kansas,88232,89301,90118,91348,92881,94207,95655,96637,97187,98193,KS
Shawnee,Kansas,62311,63011,63559,64243,64449,64994,65376,65556,65933,65807,KS
Lenexa,Kansas,48292,48865,49351,50279,50924,52430,53028,53557,55349,55625,KS
Manhattan,Kansas,52526,54148,56597,56101,55685,56513,55241,55124,54983,54604,KS
Urban Honolulu CDP,Hawaii,339121,343059,346845,349237,349561,351571,351747,349750,346945,345064,HI
Anchorage municipality,Alaska,293321,296197,298255,301142,299893,297547,297249,294338,290521,288000,AK
Newark,New Jersey,277175,277574,277594,278121,278936,279636,280681,281237,281752,282011,NJ
Jersey City,New Jersey,248324,252877,256072,257119,258632,260171,260427,263292,263851,262075,NJ
Paterson,New Jersey,146391,145593,146111,146049,145911,145928,145773,146015,145594,145233,NJ
Elizabeth,New Jersey,125257,125792,126595,127278,127658,127661,127968,128175,128599,129216,NJ
Clifton,New Jersey,84169,84690,84695,84898,85141,85240,85192,85267,85251,85052,NJ
Trenton,New Jersey,85004,84854,84631,84503,84042,83519,83313,83497,83604,83203,NJ
Camden,New Jersey,76805,77049,76711,76283,75673,75204,73818,73728,73725,73562,NJ
Passaic,New Jersey,69861,70144,69966,70081,70240,70237,70130,70123,69932,69703,NJ
Union City,New Jersey,66459,67446,67844,68232,68302,68119,68365,68485,68124,67982,NJ
Bayonne,New Jersey,63050,63945,64252,64736,65369,65290,65315,65333,64677,64897,NJ
East Orange,New Jersey,64150,64332,64172,64221,64262,64438,64426,64306,64258,64367,NJ
Vineland,New Jersey,60820,60984,60921,60874,60887,60583,60312,59862,59856,59439,NJ
New Brunswick,New Jersey,54886,55296,55404,55896,55882,56009,56183,56120,55878,55676,NJ
West New York town,New Jersey,49843,50511,50853,51252,51529,52540,52596,52732,52668,52723,NJ
Hoboken,New Jersey,50057,50769,51481,52177,52463,52839,53649,53662,53134,52677,NJ
Perth Amboy,New Jersey,50918,51137,51556,51722,51832,51705,51765,51821,51677,51390,NJ
Plainfield,New Jersey,49667,49816,49972,50223,50315,50464,50276,50367,50430,50317,NJ
Boise City,Idaho,209576,212635,215627,217330,219440,220850,224604,227648,228442,228959,ID
Meridian,Idaho,77428,79723,82125,85086,89174,92144,96227,100539,106464,114161,ID
Nampa,Idaho,81998,82716,83941,86377,87894,89527,91114,93707,96213,99277,ID
Idaho Falls,Idaho,57995,58518,58860,59034,59320,59858,60797,61768,62023,62888,ID
Caldwell,Idaho,46535,47271,47708,48964,50122,51543,53106,54738,56478,58481,ID
Pocatello,Idaho,54335,54702,54779,54476,54427,54775,54911,55336,55982,56637,ID
Coeur d'Alene,Idaho,44292,45009,45519,46250,47629,48761,49802,50584,51210,52414,ID
Twin Falls,Idaho,44517,44851,45088,45846,46480,47280,48287,49298,49713,50197,ID
Des Moines,Iowa,205032,207924,210244,212026,214350,215243,216308,216662,215994,214237,IA
Cedar Rapids,Iowa,126852,128231,128478,128826,129662,130832,131397,132564,133209,133562,IA
Davenport,Iowa,99678,100302,101165,102053,102471,102534,102456,102310,101918,101590,IA
Sioux City,Iowa,82858,83096,82689,82608,82534,82669,82748,82234,82380,82651,IA
Iowa City,Iowa,68050,69201,70182,71454,72831,73497,74587,75690,75696,75130,IA
West Des Moines,Iowa,56864,57562,58154,59733,61827,63489,64595,65556,66605,67899,IA
Ankeny,Iowa,45845,47043,48363,50785,53299,56109,58609,62365,65248,67355,IA
Waterloo,Iowa,68492,68554,68535,68700,68676,68619,68108,67758,67722,67328,IA
Ames,Iowa,59098,60440,61427,63053,64773,65685,65915,66301,66001,66258,IA
Council Bluffs,Iowa,62370,62502,62160,62117,62397,62556,62458,62377,62221,62166,IA
Dubuque,Iowa,57689,57916,58165,58491,58573,58566,58248,58299,57975,57882,IA
Birmingham,Alabama,212328,212095,211287,211765,211651,212259,211977,211533,210487,209403,AL
Huntsville,Alabama,180941,182327,183748,186001,187834,190333,192412,195420,198125,200574,AL
Montgomery,Alabama,205593,205198,203946,202439,201435,201018,200441,200047,198899,198525,AL
Mobile,Alabama,194577,193801,193761,193288,192582,191975,191472,190190,189809,188720,AL
Tuscaloosa,Alabama,90456,90913,92307,93886,95688,97576,98428,99629,100190,101129,AL
Hoover,Alabama,80953,81617,82952,83581,84005,84592,84895,85235,85517,85768,AL
Dothan,Alabama,66097,66619,67212,67666,68122,68295,68287,68293,68337,68941,AL
Auburn,Alabama,53785,54950,57149,58816,60372,61754,62773,63927,65495,66259,AL
Decatur,Alabama,55814,55916,55837,55465,55269,55027,54729,54437,54364,54445,AL
Madison,Alabama,43556,44304,45189,45929,46636,47170,48158,49207,50491,51593,AL
Salt Lake City,Utah,186643,188265,190183,192121,191837,192163,194680,200932,200435,200567,UT
West Valley City,Utah,129653,131031,132463,133744,134431,135903,136741,136334,135982,135248,UT
Provo,Utah,112923,115191,115559,116119,115378,114596,116627,117583,116630,116618,UT
West Jordan,Utah,104023,106349,108086,109735,110416,111293,113325,113945,115610,116480,UT
Orem,Utah,88722,89605,90578,91318,91362,93777,96902,97674,97430,97828,UT
Sandy,Utah,90227,91076,91929,92599,93341,94537,96444,96406,96737,96380,UT
St. George,Utah,72837,73789,75010,76275,77942,79574,81696,84547,87113,89587,UT
Ogden,Utah,83100,83312,83874,84180,84406,85295,86742,87061,87202,87773,UT
Layton,Utah,67813,68479,68899,70978,72360,73929,75482,76447,77181,78014,UT
South Jordan,Utah,51301,53309,55842,59142,62446,66034,68545,70929,73837,76598,UT
Lehi,Utah,48170,49677,51385,55089,57000,59034,61690,63674,65958,69724,UT
Millcreek,Utah,58853,59397,59853,60253,60176,60147,60354,60718,61060,61450,UT
Taylorsville,Utah,58754,59761,60210,60530,60361,60290,60401,60057,60005,59805,UT
Logan,Utah,48448,49041,49094,49057,49048,49769,50621,51019,51334,51542,UT
Herriman,Utah,22520,23364,24378,26278,28461,30572,35049,39166,44663,51348,UT
Little Rock,Arkansas,193972,195292,196564,197143,197595,198178,198631,198314,197484,197312,AR
Fort Smith,Arkansas,86291,87205,87624,87385,87131,87677,87561,87834,87720,87891,AR
Fayetteville,Arkansas,73962,75604,76969,78652,80417,82332,83620,85587,86615,87590,AR
Springdale,Arkansas,71129,72453,73712,75121,76238,77524,78737,79819,80907,81125,AR
Jonesboro,Arkansas,67548,68998,70440,71604,72303,73763,74797,75938,77234,78394,AR
Rogers,Arkansas,56361,58226,59666,60663,62086,63584,65236,66605,67635,68669,AR
Conway,Arkansas,59592,61630,62818,63359,64403,64769,65232,65958,67032,67638,AR
North Little Rock,Arkansas,62436,63482,64645,65929,66656,66388,66141,65855,66022,65903,AR
Bentonville,Arkansas,35859,37227,38747,40472,42001,44743,47166,49399,51103,54909,AR
Sioux Falls,South Dakota,154533,156471,159847,163478,167050,170183,173503,177636,180398,183793,SD
Rapid City,South Dakota,69154,69587,70739,71730,72995,73370,74116,75237,76170,77503,SD
Providence,Rhode Island,178029,178332,178813,178692,179119,179252,179548,179252,179520,179883,RI
Cranston,Rhode Island,80757,80881,81066,81033,81248,81306,81221,81022,81335,81456,RI
Warwick,Rhode Island,82643,82049,81700,81548,81710,81142,81027,80820,80966,81004,RI
Pawtucket,Rhode Island,71267,71406,71582,71623,71693,71755,71775,71600,71973,72117,RI
Jackson,Mississippi,173698,175149,174822,172927,172014,170901,169022,166823,163772,160628,MS
Gulfport,Mississippi,67904,68865,69782,70801,71173,71346,71518,71945,71771,71705,MS
Southaven,Mississippi,49125,49756,50407,50977,51740,52529,53200,54155,54979,55780,MS
Bridgeport,Connecticut,144864,146146,147096,147716,147870,147409,146287,145346,144772,144399,CT
New Haven,Connecticut,129816,130845,131114,130906,130611,130383,130417,130653,129993,130250,CT
Stamford,Connecticut,122781,123988,125046,126306,127951,128352,128974,129880,129806,129638,CT
Hartford,Connecticut,125354,125434,125266,125128,124665,124311,123654,122888,122556,122105,CT
Waterbury,Connecticut,110350,110074,110019,109733,109524,108993,108453,108277,108123,107568,CT
Norwalk,Connecticut,85956,86611,87257,87728,88023,88248,88441,88357,89061,88816,CT
Danbury,Connecticut,81308,82085,82777,83577,83681,84200,84927,84616,84675,84694,CT
New Britain,Connecticut,73251,73274,73221,73050,73048,73213,72816,72626,72591,72495,CT
Bristol,Connecticut,60502,60599,60658,60558,60588,60524,60304,60131,60101,59947,CT
Meriden,Connecticut,60832,60699,60672,60491,60384,60063,59708,59646,59566,59395,CT
West Haven,Connecticut,55570,55510,55284,55130,55289,54872,54640,54841,54895,54620,CT
Milford,Connecticut,51300,51376,51551,51653,51973,52128,52531,52816,53148,53195,CT
Charleston,South Carolina,120700,123012,125223,127246,129434,132413,134453,135626,136111,137566,SC
Columbia,South Carolina,130774,131302,131761,131527,131781,133616,134129,134005,132770,131674,SC
North Charleston,South Carolina,97949,99898,101994,104050,106754,108597,109738,110820,113077,115382,SC
Mount Pleasant town,South Carolina,68509,69807,72172,74906,77937,81617,84476,87295,89869,91684,SC
Rock Hill,South Carolina,66879,67593,68131,68788,69690,71183,72460,73414,74458,75048,SC
Greenville,South Carolina,59414,59810,60171,60625,61505,63606,67134,68474,68849,70635,SC
Summerville town,South Carolina,43175,43982,44710,45952,47370,49227,50216,51517,51880,52549,SC
Fargo,North Dakota,106025,108142,110881,113739,115715,118093,120149,122420,124091,124662,ND
Bismarck,North Dakota,61589,62768,64772,67127,69011,71413,72580,73141,73229,73529,ND
Grand Forks,North Dakota,53040,52770,53576,54914,55811,56535,56729,56754,56637,55839,ND
Manchester,New Hampshire,109613,110281,110888,111008,111198,111275,111903,112235,112492,112673,NH
Nashua,New Hampshire,86567,86809,86927,87324,87651,88271,88648,88990,88871,89355,NH
Billings,Montana,104509,105458,106765,108561,108434,109599,109620,109797,109444,109577,MT
Missoula,Montana,67466,68078,68877,69487,70227,71292,72779,74077,74882,75516,MT
Great Falls,Montana,59243,59411,59284,59549,59359,59281,58915,58879,58751,58434,MT
Wilmington,Delaware,70764,70868,71045,71201,71201,71131,70919,70658,70457,70166,DE
Portland,Maine,66088,66183,66216,66391,66832,66825,66911,66646,66405,66215,ME
Cheyenne,Wyoming,59778,60177,61438,62122,62279,62905,63451,63520,63835,64235,WY
Casper,Wyoming,55261,56092,57684,59487,59673,60014,58933,57851,57515,57931,WY
Charleston,West Virginia,51274,50992,50858,50657,50133,49457,48789,48040,47172,46536,WV
