City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019
Macon-Bibb County, Georgia,155814,156211,156606,155031,154329,153945,153152,152840,152903,153159
Kansas City, Kansas,145878,146227,147454,148899,150122,151502,152485,152739,152965,152960
Sunnyvale, California,140462,143805,146436,148055,149769,151630,153544,153217,152807,152703
Pomona, California,149107,149693,150453,151072,152225,152407,152445,152468,151925,151691
Killeen, Texas,129024,130838,134240,136294,137589,140147,142854,145149,148683,151666
Escondido, California,144440,146099,147570,148794,149708,150683,151204,151220,151793,151625
Pasadena, Texas,149523,151156,152662,153532,154447,154530,154525,153858,152733,151227
Naperville, Illinois,142402,143205,144017,144892,146193,146975,147192,147619,148090,148449
Bellevue, Washington,128357,130196,132074,133688,136275,139757,141758,145273,147064,148164
Joliet, Illinois,147524,147771,148084,147749,147592,147432,147802,147821,147730,147344
Murfreesboro, Tennessee,109572,111901,114141,117042,120808,125958,131409,136217,141442,146900
Midland, Texas,111276,113941,119794,124163,128352,133440,134935,136205,142173,146038
Rockford, Illinois,153147,152129,151258,150608,149378,148465,147796,147008,146307,145609
Paterson, New Jersey,146391,145593,146111,146049,145911,145928,145773,146015,145594,145233
Savannah, Georgia,137412,140414,142327,142600,143883,145160,145818,145804,145817,144464
Bridgeport, Connecticut,144864,146146,147096,147716,147870,147409,146287,145346,144772,144399
Torrance, California,145154,145769,146257,146671,146845,146950,146416,145781,144706,143592
McAllen, Texas,132093,134639,136277,137421,138719,139909,141888,142249,142530,143268
Syracuse, New York,145215,144526,144414,145044,144331,143816,143176,142287,142745,142327
Surprise, Arizona,117643,119617,122266,125035,127880,130336,132846,134781,137717,141664
Denton, Texas,117010,120101,123573,125030,128217,131154,134261,135629,138315,141541
Roseville, California,119916,122725,124432,126769,128397,130018,132708,135077,138953,141500
Thornton, Colorado,119391,121911,124361,127022,129479,132176,134574,136777,139352,141464
Miramar, Florida,122300,125059,128697,130120,134494,136476,138964,140215,140564,141191
Pasadena, California,137111,137652,138097,139292,139529,141025,141601,141757,140906,141029
Mesquite, Texas,139963,141520,143365,143604,144508,144988,144681,144218,142520,140937
Olathe, Kansas,126269,128325,129963,131798,132839,134298,135928,137526,139758,140545
Dayton, Ohio,142348,142000,141916,142035,141117,140819,140849,140372,140439,140407
Carrollton, Texas,119564,122527,125484,126545,128349,133060,133704,136054,137013,139248
Waco, Texas,125377,126443,127494,129011,129860,131801,133421,136939,137886,139236
Orange, California,137103,138539,139372,139972,139424,140503,140581,140251,139449,138669
Fullerton, California,135291,136386,138103,138637,138840,139982,140454,139744,139273,138632
Charleston, South Carolina,120700,123012,125223,127246,129434,132413,134453,135626,136111,137566
West Valley City, Utah,129653,131031,132463,133744,134431,135903,136741,136334,135982,135248
