City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019
Weymouth Town, Massachusetts,53828,54177,55058,55452,55725,55798,55924,56695,57511,57746
Parker town, Colorado,45540,46116,47054,48364,49508,51112,52714,54261,55813,57706
Palm Beach Gardens, Florida,50012,50563,51320,52221,53388,54437,55536,56360,57007,57704
Hanford, California,54463,54612,54524,54741,55086,55608,55663,56383,56971,57703
Huntington Park, California,58125,58334,58524,58739,58908,58933,58701,58476,57998,57509
Taunton, Massachusetts,55851,55876,55990,56109,56659,56838,56939,56982,57365,57464
Midwest City, Oklahoma,54586,55386,56232,56835,57095,57289,57417,57165,57186,57407
Medford, Massachusetts,56400,56824,57255,57399,57551,57792,57820,57772,57554,57341
Euless, Texas,51411,52052,52756,53140,53569,54163,54881,55252,57241,57197
Shoreline, Washington,53180,53762,54459,54802,55249,55592,55687,56521,56557,57027
Smyrna, Georgia,51140,51636,52322,53074,54419,55583,56246,56285,56512,56666
Pocatello, Idaho,54335,54702,54779,54476,54427,54775,54911,55336,55982,56637
Valdosta, Georgia,54977,55787,57156,56088,56309,55818,55846,56054,56428,56457
Carson City, Nevada,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916
Lake Havasu City, Arizona,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865
Grand Forks, North Dakota,53040,52770,53576,54914,55811,56535,56729,56754,56637,55839
Blue Springs, Missouri,52657,52754,52977,53149,53462,53998,54387,54861,55126,55829
Southaven, Mississippi,49125,49756,50407,50977,51740,52529,53200,54155,54979,55780
Tinley Park village, Illinois,56882,57086,57268,57372,57364,57195,56929,56553,56095,55773
Diamond Bar, California,55588,55854,56087,56233,56279,56429,56581,56334,56106,55720
New Brunswick, New Jersey,54886,55296,55404,55896,55882,56009,56183,56120,55878,55676
Lenexa, Kansas,48292,48865,49351,50279,50924,52430,53028,53557,55349,55625
Brookhaven, Georgia,49688,50147,50942,51479,51990,52693,53148,53630,54029,55554
Novato, California,51970,52680,53221,54142,54856,55406,55913,55701,55640,55516
Tigard, Oregon,48326,49244,49818,50361,50674,51060,51978,53373,54652,55514
Highland, California,53218,53671,53939,54150,54325,54553,54752,55198,55311,55417
Fountain Valley, California,55470,55950,56318,56601,56671,56643,56423,56051,55663,55357
Dearborn Heights, Michigan,57640,57278,57115,56653,56596,56322,56097,55873,55627,55353
Albany, Oregon,50327,50946,51017,50937,51343,51659,52716,53524,54518,55338
Grapevine, Texas,46610,47102,48427,50117,50772,51430,52055,53974,53809,55281
Apple Valley, Minnesota,49146,49492,49721,49925,50195,50950,51938,52390,54065,55135
Chicopee, Massachusetts,55306,55630,55840,55923,56274,55820,55342,55336,55424,55126
Hempstead village, New York,54081,54187,54982,55476,55488,55407,55367,55363,55246,55113
Oak Lawn village, Illinois,56732,56924,57078,57170,57106,56825,56456,55983,55430,55022
Cathedral City, California,51452,52077,52478,52846,53187,53516,53943,54413,54793,55007
Bentonville, Arkansas,35859,37227,38747,40472,42001,44743,47166,49399,51103,54909
Stonecrest, Georgia,50256,50726,51537,52084,52607,53327,54037,54278,54424,54903
Kettering, Ohio,56131,56000,55925,55798,55552,55375,55244,55144,55014,54855
Colton, California,52261,52712,52945,53105,53706,54291,54507,54680,54637,54824
Anderson, Indiana,56065,55798,55441,55465,55252,55020,54985,54898,54883,54765
West Haven, Connecticut,55570,55510,55284,55130,55289,54872,54640,54841,54895,54620
Burlington, North Carolina,51172,51169,51198,51314,51475,51867,52180,53121,53911,54606
Manhattan, Kansas,52526,54148,56597,56101,55685,56513,55241,55124,54983,54604
St. Cloud, Florida,37983,39474,41175,42504,44605,46742,48578,51700,54200,54579
Normal town, Illinois,52643,53119,54025,54667,54517,54294,54391,54452,54629,54469
Decatur, Alabama,55814,55916,55837,55465,55269,55027,54729,54437,54364,54445
Berwyn, Illinois,56671,56791,56886,56914,56777,56436,55986,55435,54821,54391
Port Arthur, Texas,54500,54905,54563,54719,54529,55378,55566,55433,54889,54280
Kingsport, Tennessee,52953,52924,52739,52817,52822,52757,52521,53487,54006,54127
Minnetonka, Minnesota,49796,50646,51232,51437,51555,51739,52447,52910,53883,54064
Rosemead, California,53795,54022,54215,54398,54429,54440,54332,54221,54226,54058
Paramount, California,54104,54329,54580,54854,54914,54971,54789,54621,54259,53955
Rocky Mount, North Carolina,57680,57401,56735,56300,55880,55003,54992,54634,54232,53922
Yucaipa, California,51474,51954,52280,52546,52730,52981,53186,53496,53557,53921
Watsonville, California,51278,51593,51887,52412,52959,53528,53774,53919,53875,53856
Elyria, Ohio,54487,54322,54162,54115,54078,53917,53865,53781,53797,53757
Leesburg town, Virginia,43067,44537,46076,47713,49338,50935,52495,54055,53763,53727
Mount Prospect village, Illinois,55082,55264,55417,55602,55770,55528,55156,54675,54116,53719
Pinellas Park, Florida,49532,49944,50202,50532,51410,51989,52615,52940,53157,53637
Delano, California,53130,53620,52403,52331,52447,52495,52568,52877,52921,53573
Bellevue, Nebraska,51634,51858,52407,52786,52706,52956,53291,53398,53494,53544
West Sacramento, California,48842,49106,49528,49978,51637,52431,52933,53304,53601,53519
Apopka, Florida,42407,43765,45103,46238,47796,49109,50486,52277,53557,53447
Palm Desert, California,48684,49251,49775,50357,50916,51552,52077,52794,53129,53275
Milford, Connecticut,51300,51376,51551,51653,51973,52128,52531,52816,53148,53195
Little Elm, Texas,26197,27709,29023,32916,35493,38438,42661,45988,49644,53126
Revere, Massachusetts,51845,52628,53241,53694,53802,53960,53942,54071,53483,53073
Peabody, Massachusetts,51399,51632,51904,52224,52463,52629,52759,52948,53092,53070
Wylie, Texas,42044,43597,44769,45352,46439,47348,48499,49536,51003,53067
Harrisonburg, Virginia,48993,49935,51312,51537,52542,52675,53542,53644,53488,53016
DeSoto, Texas,49344,50196,51216,51587,52046,52612,53088,53533,53254,52988
Pensacola, Florida,52014,51848,52149,52270,52434,52473,52662,52525,52637,52975
Olympia, Washington,47067,47696,48089,48473,49327,49849,50732,51660,52508,52882
Edina, Minnesota,48037,48686,49202,49501,49704,50251,51428,51783,52430,52857
Wheaton, Illinois,53104,53416,53576,53765,53769,53736,53518,53406,53108,52745
West New York town, New Jersey,49843,50511,50853,51252,51529,52540,52596,52732,52668,52723
Hoboken, New Jersey,50057,50769,51481,52177,52463,52839,53649,53662,53134,52677
Lacey, Washington,42708,43423,43947,44761,45271,46071,47309,49632,50600,52592
Summerville town, South Carolina,43175,43982,44710,45952,47370,49227,50216,51517,51880,52549
Coeur d'Alene, Idaho,44292,45009,45519,46250,47629,48761,49802,50584,51210,52414
Oak Park village, Illinois,51896,52013,52099,52254,52138,52405,52060,52149,52173,52381
Elkhart, Indiana,51841,51905,51975,52157,52285,52505,52475,52372,52373,52358
Maricopa, Arizona,43686,43866,44030,44814,45543,46109,46914,48002,50028,52127
Kentwood, Michigan,48732,49186,49752,50352,50861,51352,51742,51781,51829,51898
Madison, Alabama,43556,44304,45189,45929,46636,47170,48158,49207,50491,51593
Smyrna town, Tennessee,40568,41407,42128,43517,45731,46941,48515,49910,50748,51586
Glendora, California,50376,50624,50795,51120,51065,51769,51882,51997,51846,51544
Logan, Utah,48448,49041,49094,49057,49048,49769,50621,51019,51334,51542
Burien, Washington,48224,48786,49511,49915,50304,50664,51377,51992,51731,51500
Perth Amboy, New Jersey,50918,51137,51556,51722,51832,51705,51765,51821,51677,51390
Herriman, Utah,22520,23364,24378,26278,28461,30572,35049,39166,44663,51348
Grand Island, Nebraska,48819,49401,49905,50323,50887,50959,51182,51128,51219,51267
Placentia, California,50994,51503,51838,52105,52108,52202,52154,51916,51538,51233
La Crosse, Wisconsin,51376,51225,51962,51885,52145,52023,51830,51718,51491,51227
Battle Creek, Michigan,52315,51991,51871,51788,51776,51556,51453,51275,51105,51093
Beaumont, California,37261,38514,39286,40337,41994,43479,45156,46848,49126,51063
Collierville town, Tennessee,45661,45949,46438,47359,48754,48984,49462,50252,50671,51040
West Lafayette, Indiana,42052,42526,43227,43666,44975,46174,47503,47504,49019,50996
Florissant, Missouri,52235,52430,52379,52265,52172,52072,51652,51380,51147,50952
Hoffman Estates village, Illinois,51942,52147,52301,52396,52342,52098,51828,51463,51111,50932
Joplin, Missouri,50911,48350,48483,48896,49402,49780,50192,50469,50604,50925
Queen Creek town, Arizona,27058,27602,28148,30424,33011,35534,38850,43227,47123,50890
Aliso Viejo, California,47801,48474,49038,49538,49542,49499,50858,50982,51206,50887
Kannapolis, North Carolina,42699,43169,43769,44385,45310,46311,47577,48774,49770,50841
Methuen Town, Massachusetts,47445,47798,48129,48706,49384,49797,49953,50308,50565,50706
Galveston, Texas,47793,47555,48100,48658,49251,49691,50186,50569,50396,50446
Mishawaka, Indiana,48203,48106,48045,48111,48260,48279,48814,48984,49810,50363
Plainfield, New Jersey,49667,49816,49972,50223,50315,50464,50276,50367,50430,50317
Newark, Ohio,47614,47720,47809,48034,48283,48592,48946,49471,50001,50315
Stillwater, Oklahoma,45762,46264,46723,47426,48454,49135,49769,50039,50479,50299
Twin Falls, Idaho,44517,44851,45088,45846,46480,47280,48287,49298,49713,50197
Texas City, Texas,45284,45179,45577,45900,46383,47299,47994,48417,49078,50094
Cerritos, California,49042,49223,49384,49507,49532,49546,50346,50697,50288,49859
Coral Gables, Florida,46963,47613,49049,49762,50176,50275,50396,50628,50125,49700
Enid, Oklahoma,49530,49529,50018,50787,51113,51478,50869,50132,49723,49688
Lakewood, Ohio,52026,51662,51400,51257,51088,50811,50528,50211,50012,49678
Troy, New York,50081,50020,49848,49921,49968,49776,49597,49433,49354,49154
Saginaw, Michigan,51363,51012,50728,50272,49798,49230,48902,48696,48310,48115
Niagara Falls, New York,49996,49760,49526,49328,49083,48769,48526,48249,48012,47720
Charleston, West Virginia,51274,50992,50858,50657,50133,49457,48789,48040,47172,46536
